"CEPSA L-D: 24H 1,083 e","CEPSA L-D: 24H 1,083 e",-4.56536,37.02183,,,,
"CEPSA L: 06:00-23:00 1,079 e","CEPSA L: 06:00-23:00 1,079 e",-4.38494,37.09314,,,,
"CEPSA L-D: 24H 1,106 e","CEPSA L-D: 24H 1,106 e",-5.93517,36.98492,,,,
"CEPSA L-D: 06:00-22:00 1,106 e","CEPSA L-D: 06:00-22:00 1,106 e",-5.93542,36.98883,,,,
"CEPSA L-D: 24H 1,099 e","CEPSA L-D: 24H 1,099 e",-5.93888,37.00085,,,,
"CEPSA-ARROCEROS B.G. L-D: 24H 1,024 e","CEPSA-ARROCEROS B.G. L-D: 24H 1,024 e",-6.04039,37.08039,,,,
"CEPSA L-D: 06:00-22:00 1,084 e","CEPSA L-D: 06:00-22:00 1,084 e",-5.84972,37.17892,,,,
"CEPSA Horario Especial 1,100 e","CEPSA Horario Especial 1,100 e",-5.78725,37.18706,,,,
"CEPSA-LA DEHESA S.C.A. L-D: 24H 1,049 e","CEPSA-LA DEHESA S.C.A. L-D: 24H 1,049 e",-4.98911,37.10349,,,,
"CEPSA L-D: 06:00-22:00 1,082 e","CEPSA L-D: 06:00-22:00 1,082 e",-4.85933,37.13542,,,,
"CEPSA L-D: 06:00-22:00 1,100 e","CEPSA L-D: 06:00-22:00 1,100 e",-5.11317,37.23875,,,,
"CEPSA L-D: 24H 1,099 e","CEPSA L-D: 24H 1,099 e",-4.95919,37.26353,,,,
"CEPSA L-D: 07:00-23:00 1,098 e","CEPSA L-D: 07:00-23:00 1,098 e",-3.44002,37.13394,,,,
"CEPSA L-D: 07:00-23:00 1,096 e","CEPSA L-D: 07:00-23:00 1,096 e",-3.57789,37.14783,,,,
"CEPSA L-D: 07:00-23:00 1,096 e","CEPSA L-D: 07:00-23:00 1,096 e",-3.67394,37.15844,,,,
"CEPSA L-D: 24H 1,095 e","CEPSA L-D: 24H 1,095 e",-3.61074,37.17763,,,,
"CEPSA L-D: 24H 1,097 e","CEPSA L-D: 24H 1,097 e",-3.58397,37.16606,,,,
"CEPSA L-D: 06:00-22:00 1,098 e","CEPSA L-D: 06:00-22:00 1,098 e",-3.66464,37.20497,,,,
